,Groceries,Food & Drink,Shopping,Schools,Entertainment,Fitness Facilities,Transportation,Libraries,Goods and Services,Crowded Housing,Health Ins,Poverty,Violent Crime,Property Crime,EduLessThanHS,Unemployment Rate,NTA_Name,NTA_Code,Location
105,0.15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.136,0.835,0.385,0.08199999999999999,0.179,0.43700000000000006,0.127,Longwood,BX33,"{'lat': 28.70305, 'lng': -81.3384}"
108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.157,0.858,0.36200000000000004,0.067,0.11800000000000001,0.374,0.158,Morrisania,BX35,"{'lat': 40.82927, 'lng': -73.90653}"
109,0.45,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.157,0.858,0.36200000000000004,0.067,0.11800000000000001,0.374,0.158,Melrose,BX35,"{'lat': 42.45843, 'lng': -71.06616}"
110,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.12300000000000001,0.8220000000000001,0.415,0.049,0.087,0.318,0.196,University Heights,BX36,"{'lat': 41.49783, 'lng': -81.53735}"
111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.12300000000000001,0.8220000000000001,0.415,0.049,0.087,0.318,0.196,Morris Heights,BX36,"{'lat': 40.84982, 'lng': -73.91986}"
112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.11599999999999999,0.8390000000000001,0.24600000000000002,0.047,0.113,0.255,0.14400000000000002,Van Nest,BX37,"{'lat': 40.84843, 'lng': -73.86375}"
113,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.11599999999999999,0.8390000000000001,0.24600000000000002,0.047,0.113,0.255,0.14400000000000002,Morris Park,BX37,"{'lat': 29.93854, 'lng': -90.09063}"
114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.11599999999999999,0.8390000000000001,0.24600000000000002,0.047,0.113,0.255,0.14400000000000002,Westchester Square,BX37,"{'lat': 40.84083, 'lng': -73.84306}"
115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.135,0.8140000000000001,0.46399999999999997,0.052000000000000005,0.154,0.429,0.14800000000000002,Mott Haven,BX39,"{'lat': 40.80899, 'lng': -73.92291}"
116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.135,0.8140000000000001,0.46399999999999997,0.052000000000000005,0.154,0.429,0.14800000000000002,Port Morris,BX39,"{'lat': 40.80149, 'lng': -73.90958}"
